method,error_type,reported,recomputed,delta,status
Solver + Structure,execution_error,,3,,MISSING
Solver + Structure,missing_capacity_constraint,,6,,MISSING
Solver + Structure,missing_inventory_balance,,1,,MISSING
Solver + Structure,missing_shortage_variable,,1,,MISSING
Solver + Structure,no_error_detected,,26,,MISSING
Solver + Structure,objective_mismatch_after_selection,,10,,MISSING
Solver + Structure,solver_not_optimal,,3,,MISSING
Solver + Structure + Consensus,execution_error,,3,,MISSING
Solver + Structure + Consensus,missing_capacity_constraint,,6,,MISSING
Solver + Structure + Consensus,missing_inventory_balance,,1,,MISSING
Solver + Structure + Consensus,missing_shortage_variable,,1,,MISSING
Solver + Structure + Consensus,no_error_detected,,27,,MISSING
Solver + Structure + Consensus,objective_mismatch_after_selection,,9,,MISSING
Solver + Structure + Consensus,solver_not_optimal,,3,,MISSING
Solver only,execution_error,,3,,MISSING
Solver only,missing_capacity_constraint,,6,,MISSING
Solver only,missing_inventory_balance,,1,,MISSING
Solver only,missing_shortage_variable,,1,,MISSING
Solver only,no_error_detected,,26,,MISSING
Solver only,objective_mismatch_after_selection,,10,,MISSING
Solver only,solver_not_optimal,,3,,MISSING
Solver-Filter,execution_error,,3,,MISSING
Solver-Filter,missing_capacity_constraint,,6,,MISSING
Solver-Filter,missing_inventory_balance,,1,,MISSING
Solver-Filter,missing_shortage_variable,,1,,MISSING
Solver-Filter,no_error_detected,,26,,MISSING
Solver-Filter,objective_mismatch_after_selection,,10,,MISSING
Solver-Filter,solver_not_optimal,,3,,MISSING
Structure + Consensus,execution_error,,3,,MISSING
Structure + Consensus,missing_capacity_constraint,,6,,MISSING
Structure + Consensus,missing_inventory_balance,,1,,MISSING
Structure + Consensus,missing_shortage_variable,,1,,MISSING
Structure + Consensus,no_error_detected,,27,,MISSING
Structure + Consensus,objective_mismatch_after_selection,,9,,MISSING
Structure + Consensus,solver_not_optimal,,3,,MISSING
Structure only,execution_error,,3,,MISSING
Structure only,missing_capacity_constraint,,6,,MISSING
Structure only,missing_inventory_balance,,1,,MISSING
Structure only,missing_shortage_variable,,1,,MISSING
Structure only,no_error_detected,,26,,MISSING
Structure only,objective_mismatch_after_selection,,10,,MISSING
Structure only,solver_not_optimal,,3,,MISSING
Structure-Grounded Consistency,execution_error,,3,,MISSING
Structure-Grounded Consistency,missing_capacity_constraint,,6,,MISSING
Structure-Grounded Consistency,missing_inventory_balance,,1,,MISSING
Structure-Grounded Consistency,missing_shortage_variable,,1,,MISSING
Structure-Grounded Consistency,no_error_detected,,27,,MISSING
Structure-Grounded Consistency,objective_mismatch_after_selection,,9,,MISSING
Structure-Grounded Consistency,solver_not_optimal,,3,,MISSING
Structure-Only,execution_error,,3,,MISSING
Structure-Only,missing_capacity_constraint,,6,,MISSING
Structure-Only,missing_inventory_balance,,1,,MISSING
Structure-Only,missing_shortage_variable,,1,,MISSING
Structure-Only,no_error_detected,,26,,MISSING
Structure-Only,objective_mismatch_after_selection,,10,,MISSING
Structure-Only,solver_not_optimal,,3,,MISSING
