method,metric,reported,recomputed,delta,status
ReplenishVerifier-TypeAware,objective_accuracy,0.83,0.83,0.0,OK
ReplenishVerifier-TypeAware,structure_completeness,0.7812,0.7812244047619054,2.4404761905350014e-05,OK
ReplenishVerifier-TypeAware,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-TypeAware,constraint_coverage,0.9136,0.9136111111111112,1.1111111111183902e-05,OK
ReplenishVerifier-TypeAware,average_runtime_sec,0.1005,0.10047870674694423,-2.129325305577634e-05,OK
ReplenishVerifier-TypeAware,average_repair_feedback_count,0.14,0.06,-0.08000000000000002,MISMATCH
ReplenishVerifier-TypeAware-Consensus,executable_rate,0.97,0.97,0.0,OK
ReplenishVerifier-TypeAware-Consensus,optimal_rate,0.87,0.87,0.0,OK
ReplenishVerifier-TypeAware-Consensus,objective_accuracy,0.83,0.83,0.0,OK
ReplenishVerifier-TypeAware-Consensus,structure_completeness,0.8067,0.8067105158730163,1.0515873016370136e-05,OK
ReplenishVerifier-TypeAware-Consensus,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-TypeAware-Consensus,constraint_coverage,0.9444,0.9444444444444444,4.444444444440254e-05,OK
ReplenishVerifier-TypeAware-Consensus,average_runtime_sec,0.102,0.10197590703668538,-2.409296331461197e-05,OK
ReplenishVerifier-TypeAware-Consensus,average_repair_feedback_count,0.22,0.08,-0.14,MISMATCH
Solver only,executable_rate,0.97,0.97,0.0,OK
Solver only,optimal_rate,0.87,0.87,0.0,OK
Solver only,objective_accuracy,0.78,0.78,0.0,OK
Solver only,structure_completeness,0.7877,0.7877232142857138,2.3214285713835103e-05,OK
Solver only,inventory_balance_accuracy,1.0,1.0,0.0,OK
Solver only,constraint_coverage,0.9296,0.9295833333333334,-1.666666666655381e-05,OK
Solver only,average_runtime_sec,0.0987,0.09870293685118668,2.9368511866856295e-06,OK
Solver only,average_repair_feedback_count,0.34,0.34,0.0,OK
Structure only,executable_rate,0.97,0.97,0.0,OK
Structure only,optimal_rate,0.87,0.87,0.0,OK
Structure only,objective_accuracy,0.82,0.82,0.0,OK
Structure only,structure_completeness,0.8076,0.807578571428572,-2.1428571427950516e-05,OK
Structure only,inventory_balance_accuracy,1.0,1.0,0.0,OK
Structure only,constraint_coverage,0.9444,0.9444444444444444,4.444444444440254e-05,OK
Structure only,average_runtime_sec,0.1077,0.10770779941871296,7.799418712955974e-06,OK
Structure only,average_repair_feedback_count,0.22,0.22,0.0,OK
