method_a,method_b,n_common,same_count,same_selection_rate
OR-R1-like Voting,OptiRepair-like Repair-Prompt,50,48,0.96
OR-R1-like Voting,ReplenishVerifier-Full,50,48,0.96
OR-R1-like Voting,ReplenishVerifier-Repair,50,48,0.96
OR-R1-like Voting,ReplenishVerifier-TypeAware,50,24,0.48
OR-R1-like Voting,SIRL-like LP-Stats,50,47,0.94
OR-R1-like Voting,Solver + Consensus,50,50,1.0
OR-R1-like Voting,Solver + Structure,50,48,0.96
OR-R1-like Voting,Solver + Structure + Consensus,50,50,1.0
OR-R1-like Voting,Solver only,50,48,0.96
OR-R1-like Voting,Solver-Filter,50,48,0.96
OR-R1-like Voting,Structure + Consensus,50,50,1.0
OR-R1-like Voting,Structure only,50,48,0.96
OR-R1-like Voting,Structure-Grounded Consistency,50,50,1.0
OR-R1-like Voting,Structure-Only,50,48,0.96
OptArgus-like Audit,OptiRepair-like Repair-Prompt,50,50,1.0
OptArgus-like Audit,ReplenishVerifier-Full,50,50,1.0
OptArgus-like Audit,ReplenishVerifier-Repair,50,50,1.0
OptArgus-like Audit,ReplenishVerifier-TypeAware,50,23,0.46
OptArgus-like Audit,SIRL-like LP-Stats,50,49,0.98
OptArgus-like Audit,Solver + Consensus,50,48,0.96
OptArgus-like Audit,Solver + Structure,50,50,1.0
OptArgus-like Audit,Solver + Structure + Consensus,50,48,0.96
OptArgus-like Audit,Solver only,50,50,1.0
OptArgus-like Audit,Solver-Filter,50,50,1.0
OptArgus-like Audit,Structure + Consensus,50,48,0.96
OptArgus-like Audit,Structure only,50,50,1.0
OptArgus-like Audit,Structure-Grounded Consistency,50,48,0.96
OptArgus-like Audit,Structure-Only,50,50,1.0
OptiRepair-like Repair-Prompt,ReplenishVerifier-Full,50,50,1.0
OptiRepair-like Repair-Prompt,ReplenishVerifier-Repair,50,50,1.0
OptiRepair-like Repair-Prompt,ReplenishVerifier-TypeAware,50,23,0.46
OptiRepair-like Repair-Prompt,SIRL-like LP-Stats,50,49,0.98
OptiRepair-like Repair-Prompt,Solver + Consensus,50,48,0.96
OptiRepair-like Repair-Prompt,Solver + Structure,50,50,1.0
OptiRepair-like Repair-Prompt,Solver + Structure + Consensus,50,48,0.96
OptiRepair-like Repair-Prompt,Solver only,50,50,1.0
OptiRepair-like Repair-Prompt,Solver-Filter,50,50,1.0
OptiRepair-like Repair-Prompt,Structure + Consensus,50,48,0.96
OptiRepair-like Repair-Prompt,Structure only,50,50,1.0
OptiRepair-like Repair-Prompt,Structure-Grounded Consistency,50,48,0.96
OptiRepair-like Repair-Prompt,Structure-Only,50,50,1.0
ReplenishVerifier-Full,ReplenishVerifier-Repair,50,50,1.0
ReplenishVerifier-Full,ReplenishVerifier-TypeAware,50,23,0.46
ReplenishVerifier-Full,SIRL-like LP-Stats,50,49,0.98
ReplenishVerifier-Full,Solver + Consensus,50,48,0.96
ReplenishVerifier-Full,Solver + Structure,50,50,1.0
ReplenishVerifier-Full,Solver + Structure + Consensus,50,48,0.96
ReplenishVerifier-Full,Solver only,50,50,1.0
ReplenishVerifier-Full,Solver-Filter,50,50,1.0
ReplenishVerifier-Full,Structure + Consensus,50,48,0.96
ReplenishVerifier-Full,Structure only,50,50,1.0
ReplenishVerifier-Full,Structure-Grounded Consistency,50,48,0.96
ReplenishVerifier-Full,Structure-Only,50,50,1.0
ReplenishVerifier-Repair,ReplenishVerifier-TypeAware,50,23,0.46
ReplenishVerifier-Repair,SIRL-like LP-Stats,50,49,0.98
ReplenishVerifier-Repair,Solver + Consensus,50,48,0.96
ReplenishVerifier-Repair,Solver + Structure,50,50,1.0
ReplenishVerifier-Repair,Solver + Structure + Consensus,50,48,0.96
ReplenishVerifier-Repair,Solver only,50,50,1.0
ReplenishVerifier-Repair,Solver-Filter,50,50,1.0
ReplenishVerifier-Repair,Structure + Consensus,50,48,0.96
ReplenishVerifier-Repair,Structure only,50,50,1.0
ReplenishVerifier-Repair,Structure-Grounded Consistency,50,48,0.96
ReplenishVerifier-Repair,Structure-Only,50,50,1.0
ReplenishVerifier-TypeAware,SIRL-like LP-Stats,50,22,0.44
ReplenishVerifier-TypeAware,Solver + Consensus,50,24,0.48
ReplenishVerifier-TypeAware,Solver + Structure,50,23,0.46
ReplenishVerifier-TypeAware,Solver + Structure + Consensus,50,24,0.48
ReplenishVerifier-TypeAware,Solver only,50,23,0.46
ReplenishVerifier-TypeAware,Solver-Filter,50,23,0.46
ReplenishVerifier-TypeAware,Structure + Consensus,50,24,0.48
ReplenishVerifier-TypeAware,Structure only,50,23,0.46
ReplenishVerifier-TypeAware,Structure-Grounded Consistency,50,24,0.48
ReplenishVerifier-TypeAware,Structure-Only,50,23,0.46
SIRL-like LP-Stats,Solver + Consensus,50,47,0.94
SIRL-like LP-Stats,Solver + Structure,50,49,0.98
SIRL-like LP-Stats,Solver + Structure + Consensus,50,47,0.94
SIRL-like LP-Stats,Solver only,50,49,0.98
SIRL-like LP-Stats,Solver-Filter,50,49,0.98
SIRL-like LP-Stats,Structure + Consensus,50,47,0.94
SIRL-like LP-Stats,Structure only,50,49,0.98
SIRL-like LP-Stats,Structure-Grounded Consistency,50,47,0.94
SIRL-like LP-Stats,Structure-Only,50,49,0.98
Solver + Consensus,Solver + Structure,50,48,0.96
Solver + Consensus,Solver + Structure + Consensus,50,50,1.0
Solver + Consensus,Solver only,50,48,0.96
Solver + Consensus,Solver-Filter,50,48,0.96
Solver + Consensus,Structure + Consensus,50,50,1.0
Solver + Consensus,Structure only,50,48,0.96
Solver + Consensus,Structure-Grounded Consistency,50,50,1.0
Solver + Consensus,Structure-Only,50,48,0.96
Solver + Structure,Solver + Structure + Consensus,50,48,0.96
Solver + Structure,Solver only,50,50,1.0
Solver + Structure,Solver-Filter,50,50,1.0
Solver + Structure,Structure + Consensus,50,48,0.96
Solver + Structure,Structure only,50,50,1.0
Solver + Structure,Structure-Grounded Consistency,50,48,0.96
Solver + Structure,Structure-Only,50,50,1.0
Solver + Structure + Consensus,Solver only,50,48,0.96
Solver + Structure + Consensus,Solver-Filter,50,48,0.96
Solver + Structure + Consensus,Structure + Consensus,50,50,1.0
Solver + Structure + Consensus,Structure only,50,48,0.96
Solver + Structure + Consensus,Structure-Grounded Consistency,50,50,1.0
Solver + Structure + Consensus,Structure-Only,50,48,0.96
Solver only,Solver-Filter,50,50,1.0
Solver only,Structure + Consensus,50,48,0.96
Solver only,Structure only,50,50,1.0
Solver only,Structure-Grounded Consistency,50,48,0.96
Solver only,Structure-Only,50,50,1.0
Solver-Filter,Structure + Consensus,50,48,0.96
Solver-Filter,Structure only,50,50,1.0
Solver-Filter,Structure-Grounded Consistency,50,48,0.96
Solver-Filter,Structure-Only,50,50,1.0
Structure + Consensus,Structure only,50,48,0.96
Structure + Consensus,Structure-Grounded Consistency,50,50,1.0
Structure + Consensus,Structure-Only,50,48,0.96
Structure only,Structure-Grounded Consistency,50,48,0.96
Structure only,Structure-Only,50,50,1.0
Structure-Grounded Consistency,Structure-Only,50,48,0.96
